

git.postgresql.org/git postgresql     'https://avatars.githubusercontent.com/u/177543 https://www.postgresql.org/media/img/about/press/elephant.png'     'https://www.postgresql.org'     'PostgreSQL: The World's Most Advanced Open Source Relational Database'

gh citusdata/citus     'https://avatars.githubusercontent.com/u/2545424'     'https://www.citusdata.com'     'Distributed PostgreSQL as an extension'
gh citusdata/citus_docs     'https://avatars.githubusercontent.com/u/2545424'     'https://www.citusdata.com'     'Documentation for Citus. Distributed PostgreSQL as an extension.'
gh citusdata/citus-benchmark     'https://avatars.githubusercontent.com/u/2545424'     'https://www.citusdata.com'     'Tools for running benchmarks against Citus'
gh citusdata/pg_cron     'https://avatars.githubusercontent.com/u/2545424'     'https://www.citusdata.com'     'Run periodic jobs in PostgreSQL'
gh citusdata/pg_auto_failover     'https://avatars.githubusercontent.com/u/2545424'     'https://www.citusdata.com'     'Postgres extension and service for automated failover and high-availability'


gh pola-rs/polars     'https://avatars.githubusercontent.com/u/83768144'     'https://pola.rs/'     'Fast multi-threaded DataFrame library in Rust | Python | Node.js'
gh douchuan/algorithm     ''     ''     'Algorithms written in Rust'

gh CeresDB/ceresdb      'https://avatars.githubusercontent.com/u/77516929'     ''     'CeresDB is a high-performance, distributed, schema-less, cloud native time-series database that can handle both time-series and analytics workloads.'

gh quickwit-oss/tantivy     'https://camo.githubusercontent.com/06301693e1134b7319f1c6f1e3f2f14a54a57d7fbe2a84576dcbf7edb3c16091/68747470733a2f2f74616e746976792d7365617263682e6769746875622e696f2f6c6f676f2f74616e746976792d6c6f676f2e706e67'     'https://quickwit.io'     'Tantivy is a full-text search engine library inspired by Apache Lucene and written in Rust'
gh lnx-search/lnx     'https://avatars.githubusercontent.com/u/89636683'     'https://lnx.rs'     '⚡ Insanely fast, 🌟 Feature-rich searching. lnx is the adaptable, typo tollerant deployment of the tantivy search engine. Standing on the shoulders of giants.'
gh lnx-search/site     ''     ''     ''
gh lnx-search/docs     ''     ''     ''


gh neondatabase/neon    'https://avatars.githubusercontent.com/u/77690634'   'https://neon.tech/'     'The serverless open source alternative to AWS Aurora Postgres.'
gh neondatabase/website    'https://avatars.githubusercontent.com/u/77690634'   'https://neon.tech/'     'neon website'



