gl timvisee/send     'https://send.vis.ee/icon.26e159f8.svg'    'https://send.vis.ee'    'Simple, private file sharing.'

gh ddasilva/scheme-droid     'https://play-lh.googleusercontent.com/xe354ArFMN6cXQBsx8an-LIrE8UmKYRSkqw6MbRij-mCLTYza892xImGygNmaX-8TO8'     'https://play.google.com/store/apps/details?id=net.meltingwax.schemedroid'     'An REPL-style Scheme interpreter for Android'

gh eolinker/eoapi     'https://github.com/eolinker/eoapi/raw/main/wiki/images/logo.png'     'https://eoapi.io/'     'Eoapi 是一个可扩展的 API 开发工具。 Eoapi 集合基础的 API 管理和测试功能，并且可以通过插件简化你的 API 开发工作，让你可以更快更好地创建 API 。'

gh termux/termux-app     'https://avatars.githubusercontent.com/u/8104776'     'https://f-droid.org/en/packages/com.termux'     'Termux - a terminal emulator application for Android OS extendible by variety of package'
gh termux/termux-packages     ''     'https://termux.org'     'A build system and primary set of packages for Termux.'


gh TachibanaGeneralLaboratories/download-navi     'https://f-droid.org/repo/com.tachibana.downloader/en-US/icon_Hyw-WJaW3eM4qTBAiCpeIfImHRPTpvxEUaPSHvDUuIY=.png'     'https://f-droid.org/en/packages/com.tachibana.downloader/'     'Free and Open Source software download manager'
gh beemdevelopment/Aegis     'https://getaegis.app/images/icon.png  https://f-droid.org/repo/com.beemdevelopment.aegis/en-US/icon_C951ZFTL5UuK5VK6KaIOnVy5NNb0Wqe8asl4v1fSXLI=.png'    'https://getaegis.app'     'A free, secure and open source app for Android to manage your 2-step verification tokens.'


gh TachibanaGeneralLaboratories/download-navi     'https://f-droid.org/repo/com.tachibana.downloader/en-US/icon_Hyw-WJaW3eM4qTBAiCpeIfImHRPTpvxEUaPSHvDUuIY=.png'     ''     'Free and Open Source software download manager'

gh SecUSo/privacy-friendly-qr-scanner     'https://f-droid.org/repo/com.secuso.privacyFriendlyCodeScanner/en-US/icon_A7IKunZN-gASzfbGirBAp7QBXtVB3wUUr0pkyfeLqMU=.png'     'https://secuso.aifb.kit.edu/QR_Scanner.php'       'Privacy Friendly QR Code Scanner for Android'

gh blurpy/kouchat    'https://www.kouchat.net/images/kou_icon.png'   'https://kouchat.net/'    'KouChat'
gh blurpy/kouchat-android    'https://f-droid.org/repo/icons-640/net.usikkert.kouchat.android.16.png'    'https://kouchat.net/'    'KouChat for Android'


gh tailscale/tailscale     'https://avatars.githubusercontent.com/u/48932923'     'https://tailscale.com'     'The easiest, most secure way to use WireGuard and 2FA.'
gh tailscale/tailscale-android     ''     'https://f-droid.org/packages/com.tailscale.ipn'     'Tailscale is a mesh VPN alternative that makes it easy to connect your devices, wherever they are. No more fighting configuration or firewall ports. Built on WireGuard®, Tailscale enables an incremental shift to zero-trust networking by implementing “always-on” remote access. This guarantees a consistent, portable, and secure experience independent of physical location.'
gh juanfont/headscale     ''     ''     'An open source, self-hosted implementation of the Tailscale control server'

gh Dreamacro/clash     'https://github.com/Dreamacro/clash/raw/master/docs/logo.png'     ''     'A rule-based tunnel in Go.'
gh Kr328/ClashForAndroid      'https://github.com/Dreamacro/clash/raw/master/docs/logo.png'     ''     'A rule-based tunnel for Android.'



gh kontalk/network    'https://f-droid.org/repo/org.kontalk/en-US/icon_FRNePbMVYAebD0s0B4ZPapQYiApACIernuOThbsKb2s=.png'   'https://kontalk.org/'     'Kontalk Public Network'


gh rustdesk/rustdesk    'https://avatars.githubusercontent.com/u/71636191'   'https://rustdesk.com/'     'Open source virtual / remote desktop infrastructure for everyone! The open source TeamViewer alternative. Display and control your PC and Android devices.'
gh rustdesk/rustdesk-server    'https://avatars.githubusercontent.com/u/71636191'   'https://rustdesk.com/server'     'RustDesk Server Program'
gh rustdesk/rustdesk-server-demo    'https://avatars.githubusercontent.com/u/71636191'   'https://rustdesk.com/'     'A working demo of RustDesk server implementation'
gh rustdesk/doc.rustdesk.com     'https://avatars.githubusercontent.com/u/71636191'    'https://rustdesk.com/docs/'     'Document of RustDesk'





